country,target_domain,as_number,#fqdn_in_response,is_error,is_empty
fr,ladepeche.fr,34177,82,False,False
fr,pinterest.fr,3215,9,False,False
fr,facebook.com,62000,3,False,False
fr,programme-tv.net,206120,11,False,False
fr,doctolib.fr,34863,6,False,False
fr,amazon.fr,12670,5,False,False
fr,lefigaro.fr,198682,13,False,False
fr,instagram.com,33835,2,False,False
fr,index-education.net,2259,4,False,False
fr,bing.com,34659,1,False,False
fr,doctolib.fr,2259,7,False,False
fr,free.fr,16347,4,False,False
fr,actu.fr,198551,6,False,False
fr,lefigaro.fr,62000,12,False,False
fr,facebook.com,34863,3,False,False
fr,lemonde.fr,24776,4,False,False
fr,booking.com,20917,5,False,False
fr,bfmtv.com,36492,41,False,False
fr,20minutes.fr,33835,11,False,False
fr,francetvinfo.fr,57199,24,False,False
fr,free.fr,8487,4,False,False
fr,orange.fr,56339,40,False,False
fr,tiktok.com,29075,14,False,False
fr,labanquepostale.fr,2200,4,False,False
fr,lemonde.fr,47866,4,False,False
fr,wikipedia.org,1942,1,False,False
fr,labanquepostale.fr,5410,4,False,False
fr,msn.com,208574,8,False,False
fr,labanquepostale.fr,44407,4,False,False
fr,doctolib.fr,44494,5,False,False
fr,leboncoin.fr,42487,5,False,False
fr,programme-tv.net,2259,8,False,False
fr,lemonde.fr,198682,4,False,False
fr,twitter.com,39305,3,False,False
fr,credit-agricole.fr,39180,6,False,False
fr,index-education.net,42845,4,False,False
fr,pinterest.fr,198507,9,False,False
fr,free.fr,13193,31,False,False
fr,gala.fr,20926,7,False,False
fr,orange.fr,8362,42,False,False
fr,facebook.com,57199,3,False,False
fr,programme-tv.net,208574,8,False,False
fr,instagram.com,57119,2,False,False
fr,bfmtv.com,60032,3,False,False
fr,free.fr,31216,4,False,False
fr,linkedin.com,8228,2,False,False
fr,voici.fr,35540,14,False,False
fr,actu.fr,1307,6,False,False
fr,live.com,203596,0,True,False
fr,francetvinfo.fr,1307,25,False,False
fr,voici.fr,174,10,False,False
fr,linkedin.com,39405,2,False,False
fr,doctolib.fr,8362,6,False,False
fr,programme-tv.net,44494,8,False,False
fr,bfmtv.com,8218,18,False,False
fr,bfmtv.com,206120,17,False,False
fr,twitter.com,52075,3,False,False
fr,lefigaro.fr,5410,21,False,False
fr,francetvinfo.fr,174,25,False,False
fr,live.com,13193,0,False,True
fr,francetvinfo.fr,43619,25,False,False
fr,yahoo.com,24904,4,False,False
fr,booking.com,47866,4,False,False
fr,pinterest.fr,2200,9,False,False
fr,impots.gouv.fr,34970,2,False,False
fr,programme-tv.net,13193,10,False,False
fr,instagram.com,51207,2,False,False
fr,labanquepostale.fr,35393,4,False,False
fr,instagram.com,51083,0,False,True
fr,programme-tv.net,44407,8,False,False
fr,meteofrance.com,48072,35,False,False
fr,free.fr,12322,4,False,False
fr,live.com,42487,0,True,False
fr,orange.fr,208574,29,False,False
fr,bing.com,39886,1,False,False
fr,instagram.com,20926,2,False,False
fr,voici.fr,202422,0,False,True
fr,leboncoin.fr,36492,5,False,False
fr,labanquepostale.fr,34177,4,False,False
fr,ladepeche.fr,52075,97,False,False
fr,orange.fr,20926,41,False,False
fr,impots.gouv.fr,44407,2,False,False
fr,leparisien.fr,43619,38,False,False
fr,ouest-france.fr,206120,9,False,False
fr,sfr.fr,39886,0,False,True
fr,programme-tv.net,198330,10,False,False
fr,msn.com,42487,7,False,False
fr,sfr.fr,34177,0,False,True
fr,bfmtv.com,57902,47,False,False
fr,bing.com,3215,1,False,False
fr,francetvinfo.fr,8228,0,False,True
fr,journaldesfemmes.fr,5410,20,False,False
fr,doctolib.fr,48072,8,False,False
fr,actu.fr,205669,6,False,False
fr,instagram.com,8487,2,False,False
fr,journaldesfemmes.fr,57951,23,False,False
fr,lemonde.fr,15557,3,False,False
fr,leparisien.fr,35393,8,False,False
fr,impots.gouv.fr,174,2,False,False
fr,lemonde.fr,25540,4,False,False
fr,voici.fr,25540,13,False,False
fr,labanquepostale.fr,198682,4,False,False
fr,lemonde.fr,1307,4,False,False
fr,lefigaro.fr,25117,16,False,False
fr,cdiscount.com,1942,2,False,False
fr,ouest-france.fr,1942,9,False,False
fr,lemonde.fr,208574,3,False,False
fr,orange.fr,24776,25,False,False
fr,francetvinfo.fr,25117,25,False,False
fr,leparisien.fr,202422,35,False,False
fr,yahoo.com,47206,4,False,False
fr,booking.com,8228,5,False,False
fr,gala.fr,44494,6,False,False
fr,tiktok.com,197922,15,False,False
fr,ouest-france.fr,36492,9,False,False
fr,ouest-france.fr,51207,9,False,False
fr,ladepeche.fr,197922,92,False,False
fr,msn.com,3215,6,False,False
fr,francetvinfo.fr,203352,24,False,False
fr,20minutes.fr,12727,14,False,False
fr,lefigaro.fr,57119,21,False,False
fr,actu.fr,197922,6,False,False
fr,leparisien.fr,205669,41,False,False
fr,amazon.fr,1942,7,False,False
fr,yahoo.com,44494,4,False,False
fr,doctolib.fr,42845,6,False,False
fr,lemonde.fr,13193,3,False,False
fr,msn.com,12626,2,False,False
fr,leparisien.fr,198507,38,False,False
fr,ouest-france.fr,24776,9,False,False
fr,msn.com,57809,20,False,False
fr,journaldesfemmes.fr,16276,23,False,False
fr,doctolib.fr,35540,6,False,False
fr,twitter.com,15557,3,False,False
fr,francetvinfo.fr,39886,24,False,False
fr,voici.fr,8362,9,False,False
fr,journaldesfemmes.fr,35393,20,False,False
fr,journaldesfemmes.fr,36492,5,False,False
fr,ouest-france.fr,56339,8,False,False
fr,programme-tv.net,8220,8,False,False
fr,lemonde.fr,12626,3,False,False
fr,index-education.net,39405,0,False,True
fr,programme-tv.net,50620,8,False,False
fr,leparisien.fr,35625,41,False,False
fr,lefigaro.fr,16347,22,False,False
fr,leboncoin.fr,8362,5,False,False
fr,leboncoin.fr,35540,5,False,False
fr,actu.fr,25117,6,False,False
fr,bfmtv.com,51083,40,False,False
fr,instagram.com,39180,2,False,False
fr,labanquepostale.fr,52075,4,False,False
fr,pinterest.fr,57809,10,False,False
fr,free.fr,205669,4,False,False
fr,meteofrance.com,42845,34,False,False
fr,voici.fr,34177,14,False,False
fr,ouest-france.fr,57902,9,False,False
fr,bfmtv.com,34863,40,False,False
fr,leparisien.fr,34863,40,False,False
fr,journaldesfemmes.fr,24776,6,False,False
fr,meteofrance.com,208574,14,False,False
fr,labanquepostale.fr,35540,4,False,False
fr,lemonde.fr,16276,4,False,False
fr,journaldesfemmes.fr,208574,0,True,False
fr,cdiscount.com,208574,2,False,False
fr,bing.com,50620,1,False,False
fr,ladepeche.fr,35393,88,False,False
fr,journaldesfemmes.fr,47206,5,False,False
fr,index-education.net,198682,4,False,False
fr,impots.gouv.fr,39305,2,False,False
fr,leboncoin.fr,33835,5,False,False
fr,programme-tv.net,12322,8,False,False
fr,actu.fr,12322,6,False,False
fr,sfr.fr,34659,0,False,True
fr,ladepeche.fr,25117,83,False,False
fr,facebook.com,24776,3,False,False
fr,bfmtv.com,51207,40,False,False
fr,msn.com,206120,7,False,False
fr,20minutes.fr,42487,14,False,False
fr,bfmtv.com,52075,0,False,True
fr,sfr.fr,174,0,False,True
fr,bfmtv.com,205669,43,False,False
fr,lefigaro.fr,31216,13,False,False
fr,index-education.net,198551,4,False,False
fr,programme-tv.net,203596,8,False,False
fr,bfmtv.com,203352,18,False,False
fr,credit-agricole.fr,20766,5,False,False
fr,labanquepostale.fr,30781,4,False,False
fr,wikipedia.org,41652,1,False,False
fr,francetvinfo.fr,16276,22,False,False
fr,journaldesfemmes.fr,34863,22,False,False
fr,ladepeche.fr,16276,4,False,False
fr,journaldesfemmes.fr,20473,6,False,False
fr,programme-tv.net,8362,11,False,False
fr,lemonde.fr,12670,4,False,False
fr,bfmtv.com,34659,3,False,False
fr,linkedin.com,16347,2,False,False
fr,booking.com,39305,4,False,False
fr,facebook.com,44494,3,False,False
fr,free.fr,25117,4,False,False
fr,20minutes.fr,203352,14,False,False
fr,orange.fr,12626,41,False,False
fr,impots.gouv.fr,52075,2,False,False
fr,live.com,198507,0,True,False
fr,ladepeche.fr,174,91,False,False
fr,meteofrance.com,52075,14,False,False
fr,wikipedia.org,206120,1,False,False
fr,bfmtv.com,198507,18,False,False
fr,labanquepostale.fr,20917,4,False,False
fr,tiktok.com,203352,16,False,False
fr,pinterest.fr,5410,9,False,False
fr,live.com,206120,0,True,False
fr,doctolib.fr,197922,6,False,False
fr,labanquepostale.fr,174,4,False,False
fr,sfr.fr,198330,0,False,True
fr,ouest-france.fr,20766,7,False,False
fr,ouest-france.fr,25540,6,False,False
fr,live.com,25117,0,True,False
fr,credit-agricole.fr,1942,5,False,False
fr,doctolib.fr,16276,6,False,False
fr,lemonde.fr,203596,4,False,False
fr,leboncoin.fr,202422,5,False,False
fr,pinterest.fr,198551,8,False,False
fr,voici.fr,35625,15,False,False
fr,ouest-france.fr,203596,7,False,False
fr,orange.fr,42487,41,False,False
fr,bfmtv.com,50620,41,False,False
fr,impots.gouv.fr,5410,0,True,False
fr,leparisien.fr,3215,41,False,False
fr,free.fr,197922,4,False,False
fr,bfmtv.com,44407,18,False,False
fr,live.com,41652,0,True,False
fr,credit-agricole.fr,60032,5,False,False
fr,meteofrance.com,39305,35,False,False
fr,twitter.com,20917,3,False,False
fr,leparisien.fr,42487,41,False,False
fr,facebook.com,2259,3,False,False
fr,ouest-france.fr,15557,9,False,False
fr,linkedin.com,57951,2,False,False
fr,labanquepostale.fr,34863,4,False,False
fr,yahoo.com,34970,4,False,False
fr,lefigaro.fr,8220,22,False,False
fr,msn.com,42845,7,False,False
fr,ladepeche.fr,43619,87,False,False
fr,journaldesfemmes.fr,8220,23,False,False
fr,leparisien.fr,36492,40,False,False
fr,linkedin.com,60032,2,False,False
fr,wikipedia.org,208574,1,False,False
fr,tiktok.com,5410,14,False,False
fr,leparisien.fr,203596,8,False,False
fr,actu.fr,35540,6,False,False
fr,ladepeche.fr,39180,94,False,False
