Domain,Tracker or advertiser?,Source,Source Redirect/Error/More Info,Date Accessed,Checked,,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win
unidadeditorial.es,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,trackad.cz
viaplay.tv,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,tremorhub.com
wettercomassets.com,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,tribalfusion.com
wpcdn.pl,TRUE,https://badmojr.gitlab.io/1hosts/Xtra/hosts.win,,10/3/22,,,twpasol.com
amlimg.com,TRUE,WHOIS,Tech Adverts,10/3/22,,,uuidksinc.net
cloudflarestream.com,FALSE,,,10/3/22,,,viaplay.com
cmestatic.com,FALSE,,,10/3/22,,,viaplay.tv
contentful.com,FALSE,,,10/3/22,,,web2media.sk
cookiebot.com,FALSE,,,10/3/22,,,webcontentassessor.com
cookielaw.org,FALSE,,,10/3/22,,,webhosting-wmd.hr
ctfassets.net,FALSE,,,10/3/22,,,weborama.design
disco-api.com,FALSE,,,10/3/22,,,weborama.fr
dmca.com,FALSE,,,10/3/22,,,worldgravity.com
e-boks.com,FALSE,,,10/3/22,,,wtg-ads.com
euroland.com,FALSE,,,10/3/22,,,yieldlab.net
filmvilag.org,FALSE,,,10/3/22,,,yieldlove.com
fmi.fi,FALSE,,,10/3/22,,,yieldmo.com
fobs.dk,FALSE,,,10/3/22,,,zagreb.info
fontawesome.com,FALSE,,,10/3/22,,,zemanta.com
francetelevisions.fr,FALSE,,,10/3/22,,,zxcvads.com
fusio.dev,FALSE,,,10/3/22,,,
gedi.it,FALSE,,,10/3/22,,,
gedistatic.it,FALSE,,,10/3/22,,,
ggpht.com,FALSE,,,10/3/22,,,
gol.bg,FALSE,,,10/3/22,,,
guardianapps.co.uk,FALSE,,,10/3/22,,,
guim.co.uk,FALSE,,,10/3/22,,,
gvt1.com,FALSE,,,10/3/22,,,
heureka.sk,FALSE,,,10/3/22,,,
hsforms.net,FALSE,,,10/3/22,,,
ibg.bg,FALSE,,,10/3/22,,,
idealo.com,FALSE,,,10/3/22,,,
im-g.pl,FALSE,,,10/3/22,,,
jquery.com,FALSE,,,10/3/22,,,
jwpcdn.com,FALSE,,,10/3/22,,,
jwplatform.com,FALSE,,,10/3/22,,,
kukaj.to,FALSE,,,10/3/22,,,
mapy.cz,FALSE,,,10/3/22,,,
medallia.eu,FALSE,,,10/3/22,,,
mediadelivery.fi,FALSE,,,10/3/22,,,
mhtr.be,FALSE,,,10/3/22,,,
newspark.ca,FALSE,,,10/3/22,,,
origos.hu,FALSE,,,10/3/22,,,
p3k.hu,FALSE,,,10/3/22,,,
pmgstatic.com,FALSE,,,10/3/22,,,
polyfill.io,FALSE,,,10/3/22,,,
povijest.hr,FALSE,,,10/3/22,,,
puls.bg,FALSE,,,10/3/22,,,
pulsembed.eu,FALSE,,,10/3/22,,,
ravenjs.com,FALSE,,,10/3/22,,,
rbxcdn.com,FALSE,,,10/3/22,,,
recaptcha.net,FALSE,,,10/3/22,,,
ringpublishing.com,FALSE,,,10/3/22,,,
s-bol.com,FALSE,,,10/3/22,,,
sport24.gr,FALSE,,,10/3/22,,,
spotifycdn.com,FALSE,,,10/3/22,,,
supersaa.fi,FALSE,,,10/3/22,,,
szn.cz,FALSE,,,10/3/22,,,
t-online.hu,FALSE,,,10/3/22,,,
technomar.gr,FALSE,,,10/3/22,,,
themoviedb.org,FALSE,,,10/3/22,,,
ticdn.it,FALSE,,,10/3/22,,,
tmall.ru,FALSE,,,10/3/22,,,
torchad.com,FALSE,,,10/3/22,,,
unizg.hr,FALSE,,,10/3/22,,,
vgc.no,FALSE,,,10/3/22,,,
vgtv.no,FALSE,,,10/3/22,,,
vocstatic.com,FALSE,,,10/3/22,,,
w-x.co,FALSE,,,10/3/22,,,
wemass.com,FALSE,,,10/3/22,,,
wpimg.pl,FALSE,,,10/3/22,,,
ytimg.com,FALSE,,,10/3/22,,,
zencdn.net,FALSE,,,10/3/22,,,
zscloud.net,FALSE,,,10/3/22,,,
